الاسم ,الوصف,المدة ,الفئة العمرية,المتطلبات ,الاهداف 
امن المعلومات,"يهدف البرنامج إلى التعريف بالوحدات الأساسية المتعلقة بأمن المعلومات، والإلمام بالتحديات والتهديدات السيبرانية، ومعرفة الأساليب المتقدمة لحماية خصوصية المعلومات؛ بالإضافة إلى الإعداد والمعرفة اللازمة لتجاوز اختبار الشهادة العالمية (CompTIA Security+ Certification",اسبوعين,كبار,"أن يكون المتقدم سعودي الجنسية.
شهادة البكالوريوس بتخصص تقني.
إحضار جهاز لابتوب شخصي.
الالتزام بحضور جميع الجلسات التدريبية.
مستوى جيد في اللغة الإنجليزية.
القدرة على العمل الجماعي والمشاركة الفعّالة في الأنشطة.
الشغف بالتعلم والتطوير في مجالات التقنية.","التعامل مع تهديدات وهجمات الأمن السيبراني.
التعرف على أنواع واستخدامات وسائل التشفير.
فهم مفاهيم الأمن السيبراني وأهميته لجميع المنظمات.
التعامل مع مجموعة متنوعة من الهجمات المتكررة مثل الهندسة الاجتماعية.
الاستجابة للهجمات الأمنية بسرعة وكفاءة.
فهم وتطبيق مبادئ السرية والنزاهة والتوافر.
التعامل مع التهديدات والهجمات ونقاط الضعف.
الحفاظ على الخصوصية وحماية البيانات الشخصية من الاختراق.
التعامل مع الهندسة الاجتماعية.
تطبيق سياسات إدارة المخاطر باستخدام أدوات معينة.
"
اساسيات الدرونز,"تهيئة المتدربين للبرامج المتقدمة والمتخصصة من خلال التعرف على أساسيات تقنية الدرونز وأجزائها، وتشغيلها والتحكم بها، بالإضافة إلى تعلم إجراء الصيانة العامة للمعدات الأساسية، ضمن بيئة تعليمية تطبيقية بإشراف طاقم تعليمي متخصص.",اسبوعين,كبار,"أن يكون المتقدم سعودي الجنسية.
الالتزام بحضور جميع الجلسات التدريبية.
مستوى جيد في اللغة الإنجليزية.","التعريف بأساسيات تقنية الطائرات بدون طيار
التعرف على كيفية تشغيل الدرونز
التعرف على صيانة المعدات الأساسية
التعرف على اللوائح النظامية للطيران الترفيهي"
اساسيات علوم الشبكات ,"يهدف برنامج أساسيات علوم الشبكات + NETWORK إلى تأسيس المتدرب في علوم الشبكات، وتمكينه للحصول على شهادة CompTIA Network+، التي تمكنه من التأهل للدخول في سوق العمل السعودي.",اسبوعين,كبار,"أن يكون المتقدم سعودي الجنسية.
إحضار جهاز لابتوب شخصي.
خلفية تفنية.","المراقبة لأداء الشبكات وإدارتها
التعرف على أساسيات الشبكات
التعرف على بروتوكولات الشبكات ووصفها بشكل عام
العمل على تحديد خصائص أنظمة تشغيل الشبكات
التعرف على نموذج OSI والشبكات التابعة له
التعرف على علاقة الطبقات التحتية أو الفيزيائية بمكونات الشبكات
التعرف على كيفية نقل البيانات عبر الشبكات
التعرف على كيفية دخول الشبكات عن بعد"
مايكروسوفت SQL Server,"يهدف برنامج Microsoft SQL Server إلى التعرف على العديد من المفاهيم والمهارات المتعلقة بإدارة قواعد البيانات مثل كيفية تثبيت وتكوين خوادم قواعد البيانات، إنشاء وإدارة قواعد البيانات، إدارة الأمان، وتكوين الاستعلامات والتقارير.",اسبوعين,كبار,"أن يكون المتقدم سعودي الجنسية
. إحضار جهاز لابتوب شخصي.
شهادة الدبلوم أو البكالوريوس بتخصص تقني.
مهتم بـ SQL.","تخزين البيانات: يسمح SQL Server بتخزين البيانات بطريقة منظمة وفعالة، مما يجعل عمليات استرجاع البيانات وتحليلها أسهل وأكثر كفاءة.
إدارة البيانات: يتيح SQL Server للمستخدمين إدارة قواعد البيانات بشكل شامل، بما في ذلك إضافة وتعديل وحذف البيانات بطريقة آمنة وفعالة.
الاستعلامات والتحليل: يسمح SQL Server بكتابة استعلامات معقدة لاسترجاع البيانات بناءً على متطلباتك الخاصة وإجراء تحليلات مفصلة والحصول على رؤى قيمة من البيانات.
التكامل مع التطبيقات الأخرى: يمكن استخدام SQL Server كجزء من تطبيقات أخرى، مثل تطبيقات الويب والتطبيقات الشبكية، مما يسمح بالتكامل السلس بين مختلف الأنظمة."
برنامج Excel للمبتدئين,"يهدف البرنامج إلى تعلم أساسيات Excel، وعند إتمام هذا البرنامج سيكون المتدرب قادر على فهم المهارات في برنامج Excel واكتساب معرفة التعامل مع المعادلات الحسابية والمنطقية، وعمل الجداول البيانية بشكل مبسط.",اسبوعين,كبار,"أن يكون المتقدم سعودي الجنسية.
جهاز لابتوب شخصي.","التعرف على كيفية تنظيم البيانات وإنشائها في جداول بيانية.
التعرف على كيفية استخدام دالتي (Vlookup, IF) في تنظيم البيانات والمساعدة في عرضها.
التعرف على كيفية استخدامات Pivot table وطريقة تصنيفها وعرضها بشكل مبسط."
جدار حماية تطبيقات الويب F5,"يهدف البرنامج إلى تزويد المتدربين بفهم عملي حول كيفية نشر وتعديل وتشغيل F5 Web Application Firewall لحماية تطبيقات الويب من الهجمات المستندة إلى HTTP. تتضمن الدورة محاضر وتطبيقات عملية ونقاشات متعمقة حول مكونات F5 Web Application Firewall المختلفة، المصممة لاكتشاف التهديدات والتخفيف من تأثيرها عبر نواقل هجوم متعددة، مثل Web Scraping، Layer 7 Denial of Service، Brute Force، Bots، Code Injection، وZero Day Exploits، مما يعزز قدرة المتدربين على تأمين تطبيقاتهم بكفاءة.",أسبوع,كبار,"أن يكون المتقدم سعودي الجنسية.
إحضار جهاز لابتوب شخصي.
شهادة البكالوريوس بتخصص تقني.
مستوى جيد في اللغة الإنجليزية.","اكتساب فهم شامل لمعالجة حركة المرور باستخدام BIG-IP Local Traffic Manager (LTM).
تطوير مهارات ضبط سياسات الأمان واكتشاف الثغرات في تطبيقات الويب.
تعلم كيفية إنشاء توقيعات الهجمات وبناء الأمان الإيجابي لتأمين التطبيقات.
استيعاب مفاهيم وأساسيات حماية تطبيقات الويب وتأمين ملفات تعريف الارتباط والرؤوس الأخرى.
التعرف على طرق إعداد التقارير وتسجيل البيانات لتحليل التهديدات.
اكتساب القدرة على مقارنة السياسات الأمنية ودمجها وتصديرها لضمان إدارة فعالة للأمان.
استكشاف المجالات التقنية المختلفة، مثل نشر سياسات الأمان وضبطها في بيئات متعددة.
تنفيذ مشاريع عملية تطبيقية لتعزيز مهارات حماية تطبيقات الويب باستخدام تقنيات F5.
تطبيق أفضل الممارسات في تأمين تطبيقات الويب ضد الهجمات المتقدمة مثل Brute Force وLayer 7 DoS."
الحوسبة السحابية والذكاء الاصطناعي,"يهدف البرنامج إلى تدريب المتدربين على التعامل مع سحابة علي بابا، والتعرف على الخدمات الأساسية المستخدمة في بيئات العمل السحابية. يتضمن ذلك الحوسبة المرنة لتلبية متطلبات الأعمال، تقنيات الشبكات لضمان التواصل الفعّال، الأمن لحماية البيانات، إدارة قواعد البيانات، وخدمات التخزين لتأمين وسهولة الوصول إلى المعلومات.",أسبوع,كبار,"أن يكون المتقدم سعودي الجنسية.
إحضار جهاز لابتوب شخصي.
شهادة البكالوريوس بتخصص تقني.","فهم أساسيات الحوسبة السحابية وكيف تختلف عن البنية التحتية لتكنولوجيا المعلومات التقليدية.
فهم الخدمات الأساسية للحوسبة السحابية (الحوسبة، التخزين، الشبكات، قواعد البيانات) وكيفية ترابطها مع بعضها البعض.
فهم أساسيات الذكاء الاصطناعي التوليدي والاعتبارات الأخلاقية المشاركة في تطوير تطبيقات GenAI."
تحليل البيانات باستخدام لغة R,"يهدف البرنامج إلى تزويد المشاركين بالمهارات اللازمة لتحليل ومعالجة البيانات بكفاءة، يتم التركيز على تعلم أساسيات لغة البرمجة R، وكذلك تطبيقاتها في تحليل البيانات والإحصاء، ضمن بيئة تعليمية تطبيقية بإشراف طاقم تعليمي متخصص.",اسبوعين,كبار,"أن يكون المتقدم سعودي الجنسية.
إحضار جهاز لابتوب شخصي.
أن يكون تخصص الطالب تخصص تقني.","اكتساب فهم شامل للغة البرمجة R وأساسياتها.
تطوير مهارات التحليل الإحصائي والبصري للبيانات باستخدام لغة R.
تعلم كيفية تطبيق لغة R في مشاريع تحليل البيانات العملية.
استيعاب مفاهيم وأساسيات تحليل البيانات باستخدام التقنيات المتقدمة في لغة R."
أساسيات إنترنت الأشياء IoT,"يهدف البرنامج إنترنت الأشياء إلى تعريف المشاركين بالمفاهيم الأساسية لإنترنت الأشياء وكيفية تصميم وتطوير الأنظمة المتصلة التي تدمج بين الأجهزة الذكية والسحابة، ويتضمن البرنامج محاور عملية ونظرية تشمل البرمجة، الأجهزة المتصلة، البروتوكولات، وحلول إنترنت الأشياء.",أسبوع,كبار,"أن يكون المتقدم سعودي الجنسية.
إحضار جهاز لابتوب شخصي.
إلمام بأساسيات البرمجة يفضل بلغة Python و ++C.
معرفة مبدئية بمكونات الحاسب ، الشبكات والأجهزة الإلكترونية.","فهم الأسس والمفاهيم الأساسية لإنترنت الأشياء.
التعرف على تطبيقات إنترنت الأشياء في مختلف المجالات وكيفية توظيفها في تطوير البرمجيات.
تعلم استخدام البرمجة كأداة لتصميم وتشغيل الأجهزة المتصلة باستخدام منصات مثل Raspberry Pi وArduino وESP.
توظيف البرمجة في تصميم حلول مبتكرة وربط الأجهزة الذكية بالأنظمة السحابية.
فهم أطر الأمان والخصوصية في الأنظمة المتصلة."
أساسيات اختبار البرمجيات باستخدام منهجية Agile,"يهدف البرنامج للتعرف على مفهوم Agile ودورها في تطوير البرمجيات، مع التركيز على استخدامها الفعّال في اختبارات البرمجيات؛ يتضمن البرنامج تدريبًا عمليًا على تطبيق أساليب **Agile** في بيئة الاختبار، بالإضافة إلى التعرف على كيفية تحليل وحل اسئلة الامتحانات بشكل شامل لضمان فهم عميق للمفاهيم الأساسية.",اسبوعين,كبار,"أن يكون المتقدم سعودي الجنسية.
إحضار جهاز لابتوب شخصي.
شهادة البكالوريوس بتخصص تقني.
الشغف بالتعلم والتطوير في مجالات التقنية.
مستوى جيد في اللغة الإنجليزية.","اكتساب فهم شامل لاختبار نظرية Agile SHIFT
استيعاب مفاهيم وأساسيات أختبار Agile SHIFT
تطبيق عملي لأختبار Agile SHIFT"
